APP NAME,QUOTE,APP ID,QUOTE
"frontend-neorgp-03-07-2025-1","""","d27xzi242brt2d",""""
"frontend-neorgp-03-09-2025-1","""","d1kajpql1k8j0z",""""
"frontend-test-03-09-2025-1","""","d3vp3k229aie0p",""""
"frontend-test-03-09-2025-2","""","d1g5vbigr7kmsk",""""
"frontend-test-03-09-2025-3","""","dfodtmhgd0vgb",""""
"frontend-tests-03-08-2025-1","""","d1x1ht6d5dt5ng",""""
"frontend-tests2-03-09-2025-1","""","d1uwck2114cjz7",""""
"frontend-tests3-03-09-2025-1","""","d1tj1macx0qyf0",""""
"frontend-tests4-03-09-2025-1","""","dd97xuam06t67",""""
"frontend-tests5-03-09-2025-1","""","d12k8xzexl03ov",""""
